helek,time_s,entropy,trit,rauzy_tile,brain_color,splitmix_hue,commit_hash,splitmix_seed
70,233.38,0.2092,0,a,#249f73,53.63,28c616122ae44ecb,14649897507226043944
71,236.714,0.4574,0,c,#bc6de4,228.84,3879cdc25cbcc98c,10144846742220011832
72,240.048,0.7487,0,a,#43899e,225.90,153a551a71ca1bbd,13626707684661475861
73,243.382,0.8155,0,b,#4d9858,205.36,59a4c71716191978,8653975741648053337
74,246.716,0.4597,0,a,#b2f295,80.85,6c046391f45e3bc5,14212057453601948780
75,250.05,0.471,0,a,#93cccb,186.67,d94f697689e61794,10671251320149200857
76,253.384,0.4872,0,b,#e052a1,316.81,331791c193421d5e,6781649816264972083
77,256.718,0.7139,0,a,#a446c7,143.11,c4d2bf22e78009de,15999460881419195076
78,260.052,0.5312,0,c,#d73966,4.86,391289b9a9228811,1263297807835009593
79,263.386,0.1918,0,a,#a82d69,220.57,d4de246ae6761236,3896307359624257236
80,266.72,0.2137,0,b,#3cab73,165.31,65763befa77cb8bb,13526698541522318949
81,270.054,0.1684,0,a,#459e2c,221.88,fe75479ec076efb2,12893654827846301182
82,273.388,1.6087,0,b,#d4e8d5,247.89,0631deb7af6a48d2,15152478249224646918
83,276.722,0.3957,0,a,#ef12ca,223.78,605001b8c6bbeb0d,1003101804185079904
84,280.056,0.4476,0,c,#cd7910,48.16,75b27d34cff54e90,10398518859932742261
85,283.39,0.3872,0,a,#4c2170,319.52,e1f6e27480f6d6e9,16849926087430567649
86,286.724,0.6566,0,b,#d77a8e,307.02,72542def47440a7e,9082146674292118642
87,290.058,0.0829,0,a,#254497,297.51,389554707ad67695,10770031380262065464
88,293.392,0.4482,0,a,#6a23fb,240.27,0bfa47408dd552aa,12273106737183586827
89,296.726,0.4189,0,b,#fad72b,117.87,b0260dfe8cf7e939,4173138714665232048
90,300.06,0.5486,0,a,#41d911,324.65,17802b86160a507b,8885613156658544663
91,303.394,0.9081,0,c,#32d33e,263.34,f1f66483aa0b02a3,11745963605112452849
92,306.728,0.4127,0,a,#e5a38e,224.46,3d4365a1adb9490a,741327769067406141
93,310.062,0.2372,0,b,#530022,16.02,641b63e65bca684b,5433815446478592868
94,313.396,0.6087,0,a,#13ba0c,321.72,2655c115b0a52e18,1742512281536779558
95,316.73,0.7734,0,b,#f5d583,93.47,92be549e8955cbfc,18215747167385337490
96,320.064,0.787,0,a,#e2f5d1,172.33,b1d3e8f92978d18b,10074965963086287793
97,323.398,0.2713,0,c,#f5e812,149.94,d4354dbd078d7e57,6304631592745514452
98,326.732,0.7569,0,a,#3d416e,41.74,8dfba75ed10d0778,8648896802275720077
99,330.066,0.563,0,b,#1cf0a6,85.18,9719d7a63e79c92e,3371359106057574807
100,333.4,0.4836,0,a,#ac0eda,333.70,92ae1218cdf85167,7445005218776002194
101,336.734,0.6112,0,a,#69f8ce,275.34,23afdd57df36b33f,4590072778100420387
102,340.068,0.2274,0,b,#f117df,302.07,34b3eb5afd79f50a,789671438732473140
103,343.402,0.5504,0,a,#fc6cd1,73.77,2b13eb8ad22b01c2,13979502901608518443
104,346.736,0.5011,0,c,#718c3c,50.52,a20c7692a86cadf0,17342637211341163682
105,350.07,0.6103,0,a,#af7d2e,229.26,abdbcbfe8f7ed7ce,14904520648726141867
106,353.404,0.587,0,b,#bc63e0,4.16,bc86f1716a23829c,11277615356974302908
107,356.738,1.8804,1,a,#48c498,227.76,cee2ac246a65d2da,15767776751933776590
108,360.072,1.0652,0,c,#d02210,204.64,88eb43a7ce657a2a,3060870834995587976
109,363.406,0.8536,0,a,#79678c,37.56,8fbfb50a9cb3a1e8,16762876770825650063
110,366.74,1.1277,0,b,#328123,202.59,c76c30c296f30dd6,15424252127642414279
111,370.074,1.005,0,a,#d38092,154.74,d00f5d7d368eb84e,5672440095355768784
112,373.408,0.4183,0,a,#8c8bb1,116.65,c5f9daf50d3461c6,14294763926814652869
113,376.742,0.5672,0,b,#c52d58,220.08,73c27d20d15c6101,99462720041894515
114,380.076,0.3347,0,a,#c97701,352.33,9c35bdb884bd26f5,17665014966140089756
115,383.41,0.7789,0,c,#3a84e2,138.58,593695433292ee2f,3453858708819621465
116,386.744,0.7105,0,a,#10db2c,23.16,125be829e1e4839d,11350167141625649938
117,390.078,0.5416,0,b,#31894f,46.87,bea2b2742cb60887,9730227296986636990
118,393.412,0.5941,0,a,#910239,349.37,3a1bbf61a50996be,13733174719627074362
119,396.746,0.8935,0,b,#6f1680,358.08,9b434222c3612277,8584531330442871707
120,400.08,1.1719,0,a,#ce905f,140.47,df13de6b68be67e3,16386275124906431455
121,403.414,1.1873,0,c,#1869f6,206.62,ee8276e5f197b6d0,15039375070843011822
122,406.748,0.4565,0,a,#947c59,188.73,64de946795684d9d,11334830828058631780
123,410.082,1.4567,0,b,#505a82,109.14,e1f71beb52487f23,2557842634338727905
124,413.416,1.5426,0,a,#b59e01,40.65,cfe9c9d888ae6f07,535838783456274895
125,416.75,0.2436,0,a,#e2b6bc,140.12,be942ae059cc006c,7782444842481259710
