helek,time_s,entropy,trit,ch_trits,delta,theta,alpha,beta,gamma,commit_hash,splitmix_seed
46,153.364,0.8207,0,"[0, 0, 0, 0]",688.96,94.39,14.6,8.85,10.21,fec5fea0081d0d9e,11388790955587847678
47,156.698,0.4509,0,"[0, 0, 0, 0]",1032.13,39.93,12.58,9.57,8.68,f4d37c5bb733ecf0,17360307526213358580
48,160.032,0.2931,0,"[0, 0, 0, 0]",45819.23,1753.14,291.97,39.07,14.54,f3e08f885f84a166,7395337608966955251
49,163.366,0.778,0,"[0, 0, 0, 0]",560.87,55.0,19.92,10.15,4.0,d6ef4747e179c1cf,14970380644826738646
50,166.7,0.3148,0,"[0, 0, 0, 0]",1498.32,48.32,9.54,6.8,3.51,64885059250e819f,11493483277601245284
51,170.034,0.5097,0,"[0, 0, 0, 0]",3032.59,260.66,21.94,10.01,9.81,26a66d5854d2aa55,6172977498967352870
52,173.368,1.3102,0,"[0, 0, 0, 0]",126.76,18.97,6.9,8.33,9.96,81c76b93e2808ef9,17982452072761247617
53,176.702,0.9079,0,"[0, 0, 0, 0]",257.74,24.03,17.18,6.71,2.33,79191602a7df5ae1,16238537314825279865
54,180.036,0.9175,0,"[0, 0, 0, 0]",150.65,20.59,7.4,2.57,1.57,74701a48aee9563e,4492034613091922036
55,183.37,0.5565,0,"[0, 0, 0, 0]",227.43,12.48,3.73,3.23,1.74,4a4394206fce3953,5997051355503805258
56,186.704,1.1023,0,"[0, 0, 0, 0]",207.28,41.47,13.75,5.25,2.61,a590c0ef90fddbaa,12311712805286875301
57,190.038,0.4569,0,"[0, 0, 0, 0]",881.89,44.11,8.21,7.06,5.52,8d98eb5e2d3a8389,9908827571685660813
58,193.372,1.2587,0,"[0, 0, 0, 0]",299.76,81.3,24.01,8.03,7.85,3b2656bf6e79cdb4,13028202813616170555
59,196.706,1.0366,0,"[0, 0, 0, 0]",199.09,26.01,6.66,5.72,9.28,5bc749d990741b74,8366408898240431963
60,200.04,1.439,0,"[0, 0, 0, 0]",413.32,205.19,38.78,22.42,9.03,9506d6c8567c7d02,179436272343189141
61,203.374,0.8117,0,"[0, 0, 0, 0]",3453.91,531.19,125.06,20.1,11.41,03ba09d07c44e518,1793915329433942531
62,206.708,0.4425,0,"[0, 0, 0, 0]",6717.78,343.81,117.29,19.41,14.57,b34ddd1ab3ad911e,2202732677522345395
63,210.042,1.435,0,"[0, 0, 0, 0]",39.35,4.83,4.54,3.35,3.2,bf6c539f9f5565f9,17970864032153038015
64,213.376,1.5783,0,"[0, 0, 0, 0]",25.06,4.35,4.57,2.64,1.57,f3af04a749db38e2,16301019960648708083
65,216.71,0.4354,0,"[0, 0, 0, 0]",225.33,8.18,3.8,2.02,0.89,ce36350ad3efc18e,10286766713579321038
66,220.044,0.9641,0,"[0, 0, 0, 0]",57.15,6.91,4.39,1.04,0.55,7afc7ebac538e75d,6766439387036056698
67,223.378,1.6866,0,"[0, 0, 0, 0]",8.21,2.73,1.44,0.88,0.55,0afb5edad4fb1687,9734244536223202058
68,226.712,1.4121,0,"[0, 0, 0, 0]",28.95,8.34,3.37,1.32,1.01,65448bf90f6b7cdd,15959748895849530469
69,230.046,0.6848,0,"[0, 0, 0, 0]",143.23,14.34,4.23,0.95,0.62,437a993a02569f39,4152131949031946819
70,233.38,0.2092,0,"[0, 0, 0, 0]",3614.23,91.7,13.19,1.66,0.82,28c616122ae44ecb,14649897507226043944
71,236.714,0.4574,0,"[0, 0, 0, 0]",807.12,51.63,10.79,2.64,0.67,3879cdc25cbcc98c,10144846742220011832
72,240.048,0.7487,0,"[0, 0, 0, 0]",1278.5,192.52,33.0,5.88,2.23,153a551a71ca1bbd,13626707684661475861
73,243.382,0.8155,0,"[0, 0, 0, 0]",78.07,6.39,3.09,1.98,1.04,59a4c71716191978,8653975741648053337
74,246.716,0.4597,0,"[0, 0, 0, 0]",1452.53,93.09,19.22,4.78,1.61,6c046391f45e3bc5,14212057453601948780
75,250.05,0.471,0,"[0, 0, 0, 0]",2786.42,182.36,36.42,9.16,5.69,d94f697689e61794,10671251320149200857
76,253.384,0.4872,0,"[0, 0, 0, 0]",261.39,6.79,3.04,3.64,5.48,331791c193421d5e,6781649816264972083
77,256.718,0.7139,0,"[0, 0, 0, 0]",726.85,70.56,17.51,6.96,8.6,c4d2bf22e78009de,15999460881419195076
78,260.052,0.5312,0,"[0, 0, 0, 0]",780.23,43.95,6.59,8.21,10.49,391289b9a9228811,1263297807835009593
79,263.386,0.1918,0,"[0, 0, 0, 0]",8477.08,182.84,25.51,7.09,4.45,d4de246ae6761236,3896307359624257236
80,266.72,0.2137,0,"[0, 0, 0, 0]",28619.46,504.5,264.4,26.72,10.0,65763befa77cb8bb,13526698541522318949
81,270.054,0.1684,0,"[0, 0, 0, 0]",9843.83,167.27,22.87,10.82,9.68,fe75479ec076efb2,12893654827846301182
82,273.388,1.6087,0,"[0, 0, 0, 0]",84.31,12.93,8.51,11.14,11.46,0631deb7af6a48d2,15152478249224646918
83,276.722,0.3957,0,"[0, 0, 0, 0]",5472.19,274.76,53.73,16.95,10.07,605001b8c6bbeb0d,1003101804185079904
84,280.056,0.4476,0,"[0, 0, 0, 0]",1351.24,51.98,20.57,9.91,9.82,75b27d34cff54e90,10398518859932742261
85,283.39,0.3872,0,"[0, 0, 0, 0]",4452.86,199.63,50.65,12.88,10.73,e1f6e27480f6d6e9,16849926087430567649
86,286.724,0.6566,0,"[0, 0, 0, 0]",1375.86,137.15,24.78,11.81,8.51,72542def47440a7e,9082146674292118642
87,290.058,0.0829,0,"[0, 0, 0, 0]",51538.11,416.29,62.82,6.38,1.57,389554707ad67695,10770031380262065464
88,293.392,0.4482,0,"[0, 0, 0, 0]",3057.18,220.9,25.1,7.46,2.4,0bfa47408dd552aa,12273106737183586827
89,296.726,0.4189,0,"[0, 0, 0, 0]",1100.98,59.98,13.31,3.63,1.09,b0260dfe8cf7e939,4173138714665232048
90,300.06,0.5486,0,"[0, 0, 0, 0]",3380.76,269.77,72.43,10.01,4.16,17802b86160a507b,8885613156658544663
91,303.394,0.9081,0,"[0, 0, 0, 0]",75.2,10.67,2.66,1.78,0.76,f1f66483aa0b02a3,11745963605112452849
92,306.728,0.4127,0,"[0, 0, 0, 0]",1117.16,67.58,6.35,4.5,1.91,3d4365a1adb9490a,741327769067406141
93,310.062,0.2372,0,"[0, 0, 0, 0]",1706.99,34.47,6.42,5.68,5.87,641b63e65bca684b,5433815446478592868
94,313.396,0.6087,0,"[0, 0, 0, 0]",553.27,51.86,7.44,4.02,3.19,2655c115b0a52e18,1742512281536779558
95,316.73,0.7734,0,"[0, 0, 0, 0]",152.92,13.63,2.48,3.47,3.53,92be549e8955cbfc,18215747167385337490
96,320.064,0.787,0,"[0, 0, 0, 0]",110.39,6.91,2.76,3.44,2.9,b1d3e8f92978d18b,10074965963086287793
