helek,time_s,entropy,trit,ch_trits,delta,theta,alpha,beta,gamma,commit_hash,splitmix_seed
203,676.802,0.3873,0,"[0, 0, 0, 0]",509.78,24.02,5.71,1.77,0.5,aa31a4b529c05f78,8673862692712493482
204,680.136,0.7081,0,"[0, 0, 0, 0]",176.87,17.02,5.59,1.98,0.76,962ed9a2a57db703,267820853207051926
205,683.47,0.7568,0,"[0, 0, 0, 0]",174.49,19.55,4.47,2.38,1.41,f07c18b41740bf88,9853664980259863792
206,686.804,0.8687,0,"[0, 0, 0, 0]",58.34,8.73,1.76,0.87,0.62,1822c34ecc576b2e,3344863683259081240
207,690.138,0.7484,0,"[0, 0, 0, 0]",210.06,18.37,9.15,2.7,1.25,1d8403aa77631105,365182410398336029
208,693.472,0.8881,0,"[0, 0, 0, 0]",137.41,16.74,7.39,2.33,1.04,d1e898c49a227514,1474122501152368849
209,696.806,0.6108,0,"[0, 0, 0, 0]",147.27,6.85,4.55,2.42,1.29,025010789f828599,11062391681131237378
210,700.14,0.6777,0,"[0, 0, 0, 0]",482.3,46.18,16.18,3.33,1.13,9b69961c7d1d07a1,11603275388131109275
211,703.474,0.3855,0,"[0, 0, 0, 0]",2373.62,115.95,22.09,7.83,3.37,4dde2cccb01983ef,17258666444144303693
212,706.808,1.7465,0,"[0, 0, 0, 0]",1109.44,402.26,278.36,147.04,50.92,c7931037578dfe92,10592058779347489735
213,710.142,1.0552,0,"[0, 0, 0, 0]",117.78,20.64,8.25,2.78,1.03,f4ec469c0f6bf841,4753667121480133876
214,713.476,0.9297,0,"[0, 0, 0, 0]",89.73,14.14,3.92,1.55,0.78,0b2014c11ab13606,447739941436530699
215,716.81,0.4995,0,"[0, 0, 0, 0]",1079.09,96.42,7.43,2.76,1.74,50615a3ef4490c7e,9082715861866406224
216,720.144,1.0452,0,"[0, 0, 0, 0]",169.22,37.46,7.82,3.63,1.56,59d415f0ed0b680a,749862454520304729
217,723.478,0.3331,0,"[0, 0, 0, 0]",462.13,10.96,6.34,2.56,1.44,889c11e27ce04a6c,7803296131346177160
218,726.812,0.8138,0,"[0, 0, 0, 0]",126.12,10.5,6.7,2.34,1.15,1f66a9fd0897f85b,6627212916546954783
219,730.146,1.8679,0,"[0, 0, 0, 0]",7.72,2.2,1.92,1.14,1.1,23b89a6201960aba,13405692173515143203
220,733.48,0.2318,0,"[0, 0, 0, 0]",686.31,15.14,3.23,1.63,1.15,dd405100d7c57654,6086269473651769565
221,736.814,0.1206,0,"[0, 0, 0, 0]",6329.38,57.62,15.61,6.97,5.42,7946e21a65107f0b,828398882888238713
222,740.148,0.5624,0,"[0, 0, 0, 0]",853.31,60.11,10.41,8.4,6.62,6253d56be73c621f,2261436927537664866
223,743.482,0.9948,-1,"[0, -1, 0, 0]",907.57,240.86,29.84,8.8,6.88,835d51f12e20036a,7638984778939719043
224,746.816,0.7389,0,"[0, 0, 0, 0]",474.24,35.54,14.57,10.07,5.59,b82dcdd5f3b4d9ec,17066871222254251448
225,750.15,0.5628,0,"[0, 0, 0, 0]",3512.03,148.73,87.14,49.39,34.12,0216bbec0e8f32bf,13777231504343766530
226,753.484,0.6297,0,"[0, 0, 0, 0]",2469.67,54.17,91.94,62.21,46.08,f5179c8030ece3e3,16421228359383259125
227,756.818,0.8372,0,"[0, 0, 0, 0]",3454.23,436.35,140.24,45.28,25.96,bfb912cb922b344f,5707234537257482687
228,760.152,0.5034,0,"[0, 0, 0, 0]",749.96,7.17,17.94,16.52,15.19,ad5447ac756fb0aa,12299453133541037229
229,763.486,0.5433,0,"[0, 0, 0, 0]",10584.09,876.5,122.08,65.73,31.91,970912a50aa2ad4a,5381135296380406167
230,766.82,0.5773,0,"[0, 0, 0, 0]",5479.36,422.71,96.75,39.43,26.82,2f9b67d0cb4ad7b7,13247139068168870703
231,770.154,0.2451,0,"[0, 0, 0, 0]",3659.36,94.28,17.4,7.04,5.3,70bf7fb4eeb75ebd,13645546156837551984
232,773.488,0.3506,0,"[0, 0, 0, 0]",1539.08,54.57,14.94,7.3,3.39,451b5d6b1fa5ce1e,2219893220704066373
233,776.822,0.627,0,"[0, 0, 0, 0]",54514.83,6730.26,1012.52,90.09,3.38,f8478b554ba12894,10675960261611571192
234,780.156,0.2307,0,"[0, 0, 0, 0]",13992.6,269.73,121.28,22.23,12.65,434050cdcf107b08,611100659127697475
235,783.49,0.4367,0,"[0, 0, 0, 0]",832.14,39.24,12.34,5.43,1.57,34c0caa67cf2bc31,3584006020668244020
236,786.824,1.0828,0,"[0, 0, 0, 0]",33.68,3.77,2.21,1.53,0.88,d4c83dd3856215f7,17804245028793338068
237,790.158,0.6715,0,"[0, 0, 0, 0]",619.98,25.44,30.64,12.24,4.93,d94f9bdb184c0b4d,5551614635311583193
238,793.492,0.7559,0,"[0, 0, 0, 0]",317.25,27.94,9.84,5.82,3.34,0950ab0fb8f4e3db,15844776985393582089
239,796.826,1.0336,0,"[0, 0, 0, 0]",423.23,16.5,30.88,30.41,16.03,ce100beb51a214a1,11607080612360032462
240,800.16,1.2113,0,"[0, 0, 0, 0]",323.29,45.41,26.52,17.76,9.9,06e3d42869bf057a,8792644305888273158
241,803.494,0.8763,0,"[0, 0, 0, 0]",540.08,49.97,28.74,12.66,6.94,2db96be6aba207f4,17584202129280317741
242,806.828,2.2192,-1,"[0, -1, -1, -1]",26352.19,21512.31,30477.33,18935.46,8391.36,ad307479ef217c33,3709877505465004205
243,810.162,2.2413,0,"[0, 0, 0, 0]",3136247.21,4205998.49,2792442.85,2674813.08,1350524.2,191045d2a0f5f3f6,17794836623742275609
244,813.496,2.3022,0,"[0, 0, 0, 0]",3401007.73,2856413.67,3238670.21,3262715.86,2090701.6,6f2ad1a9262cd2bf,13822158750922910319
245,816.83,2.318,0,"[0, 0, 0, 0]",2450421.52,2603129.4,2343735.28,2866912.52,2403330.16,7e6ab0f088b6e1ca,14619166564691241598
246,820.164,2.1814,1,"[0, 0, 1, 0]",487039.05,1094233.3,497384.15,562484.2,287436.76,72dede8f9140fdaa,12321075149483728498
247,823.498,0.8291,0,"[0, 0, 0, 0]",2755690.47,384456.75,129010.7,25225.06,4969.3,cb40e0b85c6dd91e,2222928136090173643
248,826.832,1.1183,0,"[0, 0, 0, 0]",96821.83,15059.68,7724.59,3329.89,1555.61,82b524e35368a2d2,15177808403694400898
249,830.166,0.9936,0,"[0, 0, 0, 0]",16172.86,2628.02,962.63,322.77,136.95,0ddaacea671d2895,10747872842875722253
